Thorlabs Beam
Version: 9.1.5787.560
Date d/MM/yyyy	29/11/2024
Time h:mm:ss AP	11:48:54 AM

Device: 	BC106N-VIS
S/N: 	M00452329

Device	BC106N-VIS
Serial Number	M00452329

Attenuation	[dB]	0
Exposure Time	[ms]	2.509
Gain		1

Wavelength	[nm]	635

Measurement	Time [hh:mm:ss:zzz]	BeamWidth4SigmaX2[µm]	BeamWidth4SigmaY2[µm]	AzimuthAngle4Sigma[°]	Ellipticity4Sigma[%]	PeakPositionX[µm]	PeakPositionY[µm]	CentroidPositionX[µm]	CentroidPositionY[µm]	ImageSat[%]	TotalPower[dBm]	Ellipticity[%]	EllipseDiameterMin[µm]	EllipseDiameterMax[µm]	Orientation[deg]	
24	11:49:17.485	1355.95	1668.84	23.26	81.25	-2396.17	538.57	-2373.82	486.38	86.12	-44.24	45.04	646.62	1435.53	56.47	
25	11:49:18.478	1366.27	1671.27	22.81	81.75	-2396.17	583.72	-2375.70	486.94	86.12	-44.26	45.39	645.22	1421.65	56.17	
26	11:49:19.486	1334.35	1661.14	24.51	80.33	-2396.17	545.02	-2368.13	484.51	88.90	-44.20	45.80	651.02	1421.30	56.40	
27	11:49:20.488	1362.56	1671.18	22.92	81.53	-2331.67	635.32	-2373.97	486.86	86.52	-44.25	45.07	645.22	1431.47	56.16	
28	11:49:21.477	1354.44	1668.52	23.42	81.18	-2331.67	635.32	-2373.70	485.88	86.52	-44.24	45.16	648.04	1435.02	56.41	
29	11:49:22.494	1357.67	1668.88	23.06	81.35	-2396.17	583.72	-2372.90	486.93	85.33	-44.25	44.96	650.79	1447.52	56.24	
30	11:49:23.487	1344.90	1664.65	23.83	80.79	-2396.17	583.72	-2369.82	486.21	86.91	-44.22	45.24	651.39	1439.79	56.39	
31	11:49:24.484	1361.51	1669.68	23.04	81.54	-2396.17	545.02	-2373.74	486.77	87.31	-44.25	45.22	645.54	1427.39	56.33	
32	11:49:25.475	1364.28	1670.84	22.83	81.65	-2396.17	583.72	-2374.54	486.95	86.12	-44.26	45.33	645.58	1424.30	56.14	
33	11:49:26.483	1357.80	1669.59	23.19	81.33	-2396.17	583.72	-2373.23	486.57	86.91	-44.24	45.17	647.24	1432.93	56.39	
34	11:49:27.486	1361.13	1670.56	22.96	81.48	-2331.67	635.32	-2373.30	487.44	85.72	-44.25	45.32	647.22	1427.98	56.20	
35	11:49:28.483	1364.11	1670.50	23.08	81.66	-2402.62	596.62	-2374.89	487.13	86.52	-44.25	45.26	645.98	1427.26	56.02	
36	11:49:29.474	1360.26	1670.01	23.11	81.45	-2396.17	545.02	-2373.74	487.05	86.52	-44.25	45.29	647.26	1429.03	56.17	
37	11:49:30.481	1402.92	1680.56	20.74	83.48	-2396.17	590.17	-2378.63	488.30	83.35	-44.32	44.72	641.22	1433.73	55.88	
38	11:49:31.475	1376.68	1674.40	22.26	82.22	-2331.67	635.32	-2376.06	488.02	85.33	-44.27	45.00	648.41	1441.06	55.87	
39	11:49:32.478	1376.23	1673.71	22.15	82.23	-2396.17	583.72	-2376.05	487.69	85.72	-44.27	45.20	643.29	1423.30	56.06	
40	11:49:33.487	1363.09	1671.02	22.91	81.57	-2396.17	583.72	-2374.58	487.00	86.52	-44.25	45.31	646.55	1426.91	56.08	
41	11:49:34.475	1365.98	1670.56	22.83	81.77	-2402.62	596.62	-2375.11	487.28	86.52	-44.26	45.24	645.58	1426.95	56.03	
42	11:49:35.478	1342.07	1663.55	24.17	80.67	-2396.17	545.02	-2371.29	486.73	88.50	-44.21	45.37	652.85	1438.95	56.47	
43	11:49:36.501	1377.97	1673.95	22.17	82.32	-2402.62	596.62	-2374.53	487.47	85.72	-44.28	45.27	643.81	1422.30	55.99	
44	11:49:37.473	1372.39	1673.40	22.43	82.01	-2409.07	583.72	-2375.30	487.62	86.12	-44.27	45.26	644.13	1423.15	56.00	
45	11:49:38.481	1360.32	1669.45	23.04	81.48	-2396.17	583.72	-2373.50	486.90	86.52	-44.25	45.19	645.77	1428.92	56.26	
46	11:49:39.497	1362.98	1670.20	22.90	81.61	-2331.67	635.32	-2374.36	486.82	86.91	-44.26	45.09	644.62	1429.63	56.21	
47	11:49:40.476	1365.11	1670.89	22.85	81.70	-2402.62	596.62	-2374.49	487.22	85.72	-44.26	45.33	645.93	1425.09	55.98	
48	11:49:41.482	1365.61	1671.23	22.78	81.71	-2396.17	583.72	-2374.31	487.60	85.72	-44.26	45.17	645.76	1429.56	56.08	
49	11:49:42.474	1361.07	1670.32	23.04	81.49	-2396.17	545.02	-2373.76	486.98	87.31	-44.25	45.18	646.95	1431.95	56.11	
50	11:49:43.471	1368.68	1671.83	22.71	81.87	-2396.17	590.17	-2374.94	487.27	84.93	-44.26	45.12	649.12	1438.73	55.91	
51	11:49:44.477	1373.22	1673.36	22.40	82.06	-2409.07	583.72	-2375.50	488.44	85.72	-44.27	45.25	643.93	1422.94	55.96	
52	11:49:45.483	1434.71	1686.66	18.44	85.06	-2409.07	583.72	-2376.87	488.16	81.76	-44.35	44.61	636.20	1426.25	55.64	
53	11:49:46.485	1382.61	1675.98	21.88	82.50	-2415.52	596.62	-2375.37	487.87	84.53	-44.28	45.09	647.33	1435.77	55.99	
54	11:49:47.480	1347.54	1664.90	23.68	80.94	-2396.17	545.02	-2368.94	486.32	88.10	-44.22	45.33	650.63	1435.48	56.31	
55	11:49:48.482	1348.98	1666.25	23.71	80.96	-2396.17	545.02	-2370.88	486.64	86.91	-44.23	45.17	650.12	1439.22	56.37	
56	11:49:49.473	1466.40	1694.50	16.22	86.54	-2409.07	603.07	-2379.48	484.96	79.38	-44.38	44.99	634.62	1410.60	55.22	
57	11:49:50.482	1451.49	1689.98	17.75	85.89	-2409.07	603.07	-2379.27	485.63	78.98	-44.37	44.67	638.51	1429.25	55.27	
58	11:49:51.474	1532.64	1708.43	9.42	89.71	-2454.22	635.32	-2377.76	483.81	73.83	-44.45	45.77	625.41	1366.53	54.69	
59	11:49:52.481	1428.63	1686.48	19.03	84.71	-2402.62	590.17	-2378.88	488.13	81.76	-44.34	44.43	636.75	1433.22	55.61	
60	11:49:53.474	1485.65	1696.90	14.91	87.55	-2454.22	635.32	-2380.24	484.78	77.79	-44.41	45.32	629.78	1389.56	55.08	
61	11:49:54.482	1429.68	1685.98	19.08	84.80	-2409.07	603.07	-2379.87	488.89	82.16	-44.34	44.66	637.91	1428.36	55.58	
62	11:49:55.472	1327.58	1657.82	24.84	80.08	-2331.67	635.32	-2366.92	484.26	88.10	-44.18	45.40	656.62	1446.19	56.55	
63	11:49:56.486	1405.44	1680.68	20.65	83.62	-2402.62	596.62	-2378.88	488.25	83.74	-44.31	44.79	640.92	1430.95	55.73	
64	11:49:57.530	1354.92	1667.94	23.39	81.23	-2331.67	635.32	-2373.88	486.02	88.10	-44.23	45.14	647.74	1434.86	56.32	
65	11:49:58.471	1416.66	1682.24	19.99	84.21	-2402.62	596.62	-2378.58	487.11	83.74	-44.33	44.77	637.40	1423.68	55.70	
66	11:49:59.480	1386.17	1676.16	21.71	82.70	-2396.17	583.72	-2375.61	487.14	84.93	-44.29	45.09	646.22	1433.12	55.94	
67	11:50:00.495	1442.41	1686.76	18.38	85.51	-2409.07	603.07	-2378.98	486.00	80.17	-44.36	44.92	634.35	1412.31	55.62	
68	11:50:01.474	1435.68	1686.40	18.80	85.13	-2409.07	583.72	-2378.83	486.96	81.76	-44.35	44.79	636.11	1420.33	55.75	
69	11:50:02.478	1418.50	1685.24	19.78	84.17	-2396.17	583.72	-2377.43	487.81	82.95	-44.33	44.68	635.65	1422.81	55.68	
70	11:50:03.469	1573.03	1720.06	1.86	91.45	-2460.67	641.77	-2374.60	475.83	69.86	-44.49	48.06	618.36	1286.52	54.58	
71	11:50:04.476	1441.59	1690.42	18.40	85.28	-2415.52	596.62	-2378.25	488.11	80.57	-44.36	44.52	634.98	1426.23	55.28	
72	11:50:05.481	1410.20	1681.39	20.45	83.87	-2402.62	596.62	-2377.86	486.70	83.74	-44.32	44.82	638.46	1424.42	55.94	
73	11:50:06.470	1390.86	1677.69	21.55	82.90	-2402.62	596.62	-2375.48	487.09	84.14	-44.29	45.09	646.41	1433.57	55.88	
74	11:50:07.476	1420.45	1684.63	19.75	84.32	-2415.52	596.62	-2377.03	487.50	82.95	-44.33	44.53	634.87	1425.78	55.60	
75	11:50:08.473	1405.47	1678.93	20.54	83.71	-2415.52	596.62	-2375.41	488.58	84.14	-44.31	45.09	641.19	1422.05	55.89	
76	11:50:09.479	1421.81	1683.41	19.53	84.46	-2402.62	590.17	-2376.18	487.44	82.55	-44.33	44.53	639.57	1436.20	55.56	
77	11:50:10.469	1365.62	1671.23	22.79	81.71	-2409.07	583.72	-2372.47	485.64	86.12	-44.25	45.21	645.31	1427.38	56.15	
78	11:50:11.476	1376.17	1674.37	22.26	82.19	-2331.67	635.32	-2373.69	486.24	85.72	-44.27	45.09	643.33	1426.90	56.06	
79	11:50:12.481	1379.31	1674.56	22.09	82.37	-2396.17	583.72	-2372.19	486.52	84.93	-44.27	45.07	648.34	1438.45	55.99	
80	11:50:13.473	1360.62	1669.39	23.00	81.50	-2396.17	545.02	-2369.64	485.31	86.12	-44.25	45.39	646.44	1424.10	56.21	
81	11:50:14.475	1438.13	1687.00	18.42	85.25	-2402.62	596.62	-2375.48	484.97	82.55	-44.36	44.91	635.29	1414.51	55.68	
82	11:50:15.479	1437.32	1689.52	18.37	85.07	-2402.62	596.62	-2373.98	487.74	81.36	-44.35	44.57	635.31	1425.32	55.40	
83	11:50:16.476	1338.61	1663.43	24.19	80.47	-2396.17	545.02	-2365.92	484.02	88.10	-44.21	45.68	655.23	1434.36	56.33	
84	11:50:17.482	1343.72	1666.08	23.91	80.65	-2331.67	635.32	-2367.00	483.41	87.31	-44.22	45.49	652.96	1435.25	56.31	
85	11:50:18.476	1430.07	1684.79	19.10	84.88	-2402.62	596.62	-2379.75	483.25	81.76	-44.35	44.58	637.05	1429.08	55.79	
86	11:50:19.472	1343.73	1667.11	23.94	80.60	-2396.17	545.02	-2369.07	481.61	86.91	-44.22	45.28	652.06	1440.09	56.28	
87	11:50:20.476	1344.45	1665.68	23.87	80.72	-2396.17	545.02	-2365.79	483.25	87.71	-44.22	45.49	653.02	1435.48	56.34	
88	11:50:21.481	1316.21	1654.40	25.69	79.56	-2351.02	512.77	-2359.85	478.54	89.29	-44.15	45.45	653.44	1437.69	56.53	
89	11:50:22.473	1311.64	1649.70	26.09	79.51	-2351.02	512.77	-2355.51	476.00	88.50	-44.12	45.59	662.46	1453.18	56.54	
90	11:50:23.469	1311.39	1649.11	25.95	79.52	-2351.02	512.77	-2355.62	476.84	88.50	-44.12	45.49	660.82	1452.60	56.62	
91	11:50:24.474	1386.16	1676.49	21.75	82.68	-2396.17	545.02	-2376.35	484.59	85.33	-44.29	45.20	646.12	1429.52	56.06	
92	11:50:25.476	1324.76	1658.73	25.05	79.87	-2396.17	545.02	-2363.76	481.45	88.50	-44.17	45.36	656.77	1447.78	56.34	
93	11:50:26.466	1342.59	1664.07	24.15	80.68	-2396.17	545.02	-2370.29	484.67	87.71	-44.21	45.55	653.10	1433.85	56.32	
94	11:50:27.472	1342.84	1665.13	24.14	80.64	-2363.92	545.02	-2370.19	484.73	86.91	-44.22	45.47	652.45	1434.94	56.24	
95	11:50:28.475	1342.68	1665.17	24.19	80.63	-2331.67	635.32	-2369.99	485.68	86.91	-44.22	45.35	651.79	1437.25	56.22	
96	11:50:29.467	1342.05	1664.40	24.10	80.63	-2331.67	635.32	-2369.42	485.48	87.31	-44.21	45.49	653.84	1437.40	56.22	
97	11:50:30.477	1407.48	1683.01	20.86	83.63	-2402.62	590.17	-2378.49	488.65	83.35	-44.31	44.94	640.82	1425.92	55.64	
98	11:50:31.471	1444.01	1687.59	17.94	85.57	-2402.62	596.62	-2383.11	483.84	80.97	-44.36	44.82	632.82	1412.02	55.55	
99	11:50:32.484	1445.37	1691.20	17.94	85.46	-2409.07	603.07	-2380.05	486.20	80.57	-44.36	44.72	631.67	1412.46	55.41	
100	11:50:33.469	1355.64	1669.95	23.30	81.18	-2331.67	635.32	-2370.00	486.98	87.31	-44.24	45.10	647.92	1436.52	56.14	
101	11:50:34.476	1353.73	1669.82	23.55	81.07	-2396.17	583.72	-2371.11	490.12	86.52	-44.23	45.28	648.79	1432.93	56.02	
102	11:50:35.471	1343.96	1665.80	23.99	80.68	-2331.67	635.32	-2368.42	486.18	87.31	-44.21	45.38	652.43	1437.79	56.15	
103	11:50:36.476	1353.66	1669.20	23.48	81.10	-2331.67	635.32	-2370.63	487.93	87.31	-44.23	45.34	650.07	1433.91	56.13	
104	11:50:37.470	1344.27	1666.12	24.06	80.68	-2370.37	557.92	-2368.12	486.70	87.31	-44.21	45.54	653.08	1433.96	56.22	
105	11:50:38.476	1396.83	1678.45	20.85	83.22	-2396.17	583.72	-2379.89	488.01	84.53	-44.30	44.72	642.29	1436.21	55.90	
106	11:50:39.481	1618.31	1746.52	-11.33	92.66	-2447.77	693.37	-2366.05	467.00	61.93	-44.51	55.22	623.02	1128.22	54.09	
107	11:50:40.469	1406.80	1683.13	20.98	83.58	-2409.07	603.07	-2377.16	486.87	82.95	-44.32	44.87	640.20	1426.87	55.82	
108	11:50:41.474	1451.81	1688.46	17.68	85.98	-2402.62	596.62	-2381.64	485.81	79.78	-44.37	44.76	636.77	1422.66	55.36	
109	11:50:42.465	1405.56	1682.50	20.99	83.54	-2415.52	596.62	-2377.39	488.22	84.53	-44.31	44.88	641.25	1428.78	55.66	
110	11:50:43.474	1378.15	1676.19	22.35	82.22	-2396.17	545.02	-2374.42	488.97	85.72	-44.27	45.02	642.84	1427.99	55.94	
111	11:50:44.476	1552.14	1712.84	7.68	90.62	-2454.22	635.32	-2377.59	477.12	71.85	-44.47	46.70	622.02	1332.03	54.56	
112	11:50:45.468	1476.39	1697.52	15.66	86.97	-2415.52	596.62	-2380.23	486.58	78.19	-44.39	44.90	630.51	1404.38	55.05	
113	11:50:46.472	1338.71	1664.37	24.42	80.43	-2383.27	545.02	-2367.87	486.35	87.31	-44.20	45.67	654.94	1434.04	56.16	
114	11:50:47.466	1403.45	1681.64	20.78	83.46	-2402.62	596.62	-2374.71	488.94	84.93	-44.30	44.75	640.79	1431.82	55.73	
115	11:50:48.473	1344.74	1666.42	24.03	80.70	-2396.17	545.02	-2369.11	486.49	87.31	-44.22	45.36	651.43	1435.99	56.16	
116	11:50:49.468	1345.85	1666.97	24.18	80.74	-2331.67	635.32	-2370.67	485.66	86.52	-44.22	45.26	652.82	1442.46	56.17	
117	11:50:50.476	1382.17	1677.06	21.76	82.42	-2402.62	596.62	-2378.57	487.55	85.72	-44.28	44.85	640.95	1429.13	55.99	
118	11:50:51.475	1407.63	1682.77	20.87	83.65	-2402.62	596.62	-2377.00	487.30	83.35	-44.31	44.84	641.58	1430.86	55.66	
119	11:50:52.472	1536.34	1707.78	9.05	89.96	-2454.22	641.77	-2380.58	478.70	73.43	-44.45	45.99	624.15	1357.25	54.76	
120	11:50:53.507	1386.93	1678.76	21.87	82.62	-2396.17	583.72	-2375.40	487.08	84.53	-44.28	44.99	646.59	1437.11	55.86	
121	11:50:54.465	1368.61	1674.13	22.87	81.75	-2331.67	635.32	-2373.94	488.07	85.72	-44.26	45.19	645.32	1427.94	55.90	
122	11:50:55.473	1351.16	1668.58	23.78	80.98	-2331.67	635.32	-2371.16	486.75	86.91	-44.23	45.14	649.34	1438.51	56.23	
123	11:50:56.468	1366.76	1672.80	22.93	81.70	-2396.17	583.72	-2373.65	487.44	86.12	-44.26	45.36	646.57	1425.56	55.87	
124	11:50:57.474	1485.68	1698.81	15.36	87.45	-2454.22	635.32	-2379.33	485.37	76.60	-44.41	44.91	634.44	1412.56	54.92	
125	11:50:58.466	1415.81	1683.59	20.36	84.09	-2402.62	596.62	-2377.71	488.06	82.95	-44.32	44.67	637.67	1427.52	55.52	
126	11:50:59.473	1404.61	1682.54	20.86	83.48	-2396.17	583.72	-2377.09	488.80	84.14	-44.31	44.77	640.85	1431.52	55.69	
127	11:51:00.480	1425.29	1685.78	19.69	84.55	-2402.62	596.62	-2378.07	486.79	82.55	-44.34	44.66	639.39	1431.52	55.72	
128	11:51:01.469	1451.66	1698.04	17.27	85.49	-2434.87	615.97	-2378.48	491.80	79.38	-44.36	44.27	635.04	1434.37	55.00	
129	11:51:02.479	1363.67	1673.23	23.27	81.50	-2396.17	545.02	-2372.05	488.59	86.12	-44.24	45.18	646.84	1431.78	55.82	
130	11:51:03.467	1349.74	1668.25	23.89	80.91	-2396.17	583.72	-2369.73	488.66	86.12	-44.22	45.23	650.70	1438.62	56.06	
131	11:51:04.472	1355.06	1669.98	23.52	81.14	-2396.17	545.02	-2370.19	487.62	86.91	-44.23	45.13	648.34	1436.70	56.07	
132	11:51:05.477	1357.08	1670.74	23.59	81.23	-2331.67	635.32	-2371.22	487.36	86.52	-44.24	45.23	648.48	1433.67	55.98	
133	11:51:06.466	1352.18	1668.56	23.80	81.04	-2331.67	635.32	-2371.37	486.89	87.31	-44.23	45.25	648.89	1434.04	56.29	
134	11:51:07.472	1358.20	1671.16	23.53	81.27	-2331.67	635.32	-2372.68	487.88	86.52	-44.24	45.21	647.54	1432.37	55.96	
135	11:51:08.476	1368.02	1673.85	23.03	81.73	-2396.17	545.02	-2373.99	488.32	86.12	-44.26	45.26	646.33	1428.02	55.85	
136	11:51:09.467	1360.30	1670.00	23.36	81.45	-2331.67	635.32	-2373.56	487.31	87.31	-44.24	45.38	647.92	1427.65	55.99	
137	11:51:10.476	1363.96	1671.81	23.03	81.59	-2331.67	635.32	-2373.37	487.61	86.52	-44.25	45.30	646.35	1426.94	55.87	
138	11:51:11.488	1361.97	1672.97	23.22	81.41	-2396.17	545.02	-2373.33	487.83	86.52	-44.25	45.33	647.83	1429.23	55.83	
139	11:51:12.484	1362.73	1670.70	23.25	81.57	-2396.17	545.02	-2373.72	487.60	87.31	-44.25	45.20	647.08	1431.62	55.84	
140	11:51:13.488	1354.30	1669.48	23.66	81.12	-2396.17	545.02	-2372.62	487.14	87.71	-44.23	45.28	649.41	1434.29	56.12	
141	11:51:14.481	1350.54	1667.64	23.88	80.99	-2396.17	545.02	-2371.94	486.88	86.52	-44.23	45.02	649.46	1442.64	56.19	
142	11:51:15.496	1346.72	1666.84	24.10	80.80	-2331.67	635.32	-2370.59	487.94	86.91	-44.21	45.25	652.15	1441.34	56.11	
143	11:51:16.489	1406.56	1681.89	21.02	83.63	-2402.62	590.17	-2378.22	488.93	82.95	-44.31	44.91	641.73	1428.97	55.60	
144	11:51:17.480	1390.30	1678.71	21.63	82.82	-2402.62	596.62	-2374.79	487.28	84.53	-44.29	44.96	645.51	1435.63	55.66	
145	11:51:18.501	1464.85	1694.21	16.90	86.46	-2409.07	583.72	-2379.45	486.09	79.38	-44.38	44.89	634.08	1412.57	55.04	
146	11:51:19.521	1399.61	1682.83	21.27	83.17	-2402.62	596.62	-2375.92	488.45	83.74	-44.30	44.95	642.72	1429.79	55.64	
147	11:51:20.513	1511.42	1707.28	13.01	88.53	-2454.22	635.32	-2376.94	485.37	75.02	-44.42	45.49	628.20	1381.07	54.70	
148	11:51:21.514	1351.00	1668.79	23.87	80.96	-2396.17	583.72	-2371.26	487.78	86.52	-44.23	45.24	650.67	1438.19	56.09	
149	11:51:22.520	1356.59	1671.10	23.56	81.18	-2331.67	635.32	-2371.38	487.28	86.52	-44.24	45.24	648.56	1433.61	56.03	
150	11:51:23.514	1360.43	1671.30	23.49	81.40	-2396.17	545.02	-2372.61	487.91	86.52	-44.24	45.39	648.37	1428.45	55.88	
151	11:51:24.520	1368.65	1674.53	22.97	81.73	-2396.17	545.02	-2373.96	487.46	85.72	-44.26	45.29	646.14	1426.60	55.78	
152	11:51:25.513	1366.41	1673.55	23.05	81.65	-2396.17	545.02	-2372.71	487.16	85.33	-44.25	45.10	651.26	1443.96	55.81	
153	11:51:26.520	1411.56	1685.74	20.21	83.74	-2396.17	583.72	-2377.18	487.21	83.35	-44.31	44.72	638.98	1428.86	55.55	
154	11:51:27.510	1396.17	1681.26	21.50	83.04	-2415.52	596.62	-2375.05	490.21	84.53	-44.29	45.03	644.40	1430.95	55.68	
155	11:51:28.520	1610.39	1738.41	-7.38	92.64	-2447.77	693.37	-2367.36	469.52	63.91	-44.51	53.03	620.95	1170.88	53.82	
156	11:51:29.514	1467.13	1695.25	16.77	86.54	-2415.52	596.62	-2379.34	487.39	78.59	-44.39	44.74	634.17	1417.30	54.96	
157	11:51:30.521	1457.97	1695.46	16.82	85.99	-2402.62	590.17	-2381.71	490.13	79.38	-44.37	44.47	633.24	1424.11	55.01	
158	11:51:31.511	1364.09	1671.45	23.26	81.61	-2402.62	596.62	-2372.41	488.41	86.12	-44.25	45.16	646.40	1431.28	55.76	
159	11:51:32.522	1371.40	1674.49	22.81	81.90	-2402.62	596.62	-2373.71	489.63	85.72	-44.26	45.12	644.85	1429.33	55.87	
160	11:51:33.512	1520.15	1713.66	11.02	88.71	-2454.22	635.32	-2375.13	489.55	75.02	-44.43	45.79	622.43	1359.20	54.52	
161	11:51:34.518	1351.41	1668.33	23.86	81.00	-2331.67	635.32	-2370.40	487.58	86.52	-44.23	45.31	650.65	1435.85	56.12	
162	11:51:35.522	1397.93	1679.68	21.31	83.23	-2331.67	635.32	-2376.65	488.43	83.35	-44.30	45.03	643.37	1428.66	55.61	
163	11:51:36.516	1612.34	1734.45	-8.21	92.96	-2486.47	635.32	-2370.78	465.44	64.31	-44.52	52.91	621.70	1175.09	54.28	
164	11:51:37.523	1444.84	1691.06	18.29	85.44	-2402.62	596.62	-2379.68	486.51	80.57	-44.36	44.72	632.38	1414.24	55.40	
165	11:51:38.515	1563.84	1716.51	4.66	91.11	-2454.22	635.32	-2377.48	477.87	71.85	-44.48	47.34	616.98	1303.24	54.71	
166	11:51:39.510	1425.78	1687.01	19.99	84.52	-2402.62	596.62	-2378.89	487.69	82.95	-44.34	44.61	634.33	1421.97	55.39	
167	11:51:40.515	1393.56	1679.40	21.84	82.98	-2402.62	596.62	-2378.11	487.35	84.53	-44.30	45.06	645.19	1431.94	55.74	
168	11:51:41.520	1434.74	1688.30	19.37	84.98	-2409.07	583.72	-2377.46	489.96	81.76	-44.35	44.58	636.85	1428.68	55.24	
169	11:51:42.512	1400.42	1681.09	21.34	83.30	-2331.67	635.32	-2376.11	490.28	83.74	-44.30	44.92	642.91	1431.26	55.56	
170	11:51:43.518	1385.97	1677.80	21.94	82.61	-2396.17	583.72	-2375.95	488.18	85.72	-44.28	45.26	642.40	1419.25	55.82	
171	11:51:44.513	1431.58	1687.30	19.49	84.84	-2415.52	596.62	-2380.13	486.10	80.97	-44.35	44.55	636.78	1429.24	55.64	
172	11:51:45.524	1434.77	1690.58	19.23	84.87	-2409.07	603.07	-2376.57	489.86	80.97	-44.35	44.65	636.23	1424.91	55.23	
173	11:51:46.513	1395.20	1680.76	21.68	83.01	-2396.17	583.72	-2374.81	488.89	83.74	-44.30	45.14	644.74	1428.46	55.69	
174	11:51:47.519	1378.77	1676.30	22.51	82.25	-2396.17	583.72	-2374.98	488.56	86.12	-44.27	45.15	643.62	1425.62	55.81	
175	11:51:48.515	1388.19	1678.94	21.88	82.68	-2402.62	596.62	-2375.61	487.49	84.14	-44.29	45.12	646.62	1433.21	55.71	
176	11:51:49.521	1426.96	1687.38	19.59	84.57	-2402.62	596.62	-2376.94	488.12	82.55	-44.34	44.54	639.25	1435.24	55.49	
